index_set,mean_acc,std_acc,test_accuracy,estimator_name,num_layers,hidden_size,d_model,nhead,out_channels,dropout,weight_decay,lr,scheduler_factor,batch_size,score
105,32.1,4.2,31.7,Transformer,4,-,72,2,-,0.0,5.0e-07,4.5e-03,0.5,32,27.9
162,33.6,5.8,35.8,Transformer,4,-,60,12,-,0.175,1.0e-06,5.5e-03,0.4,28,27.8
24,33.2,5.5,19.2,Transformer,4,-,72,4,-,0.05,2.5e-06,4.0e-03,0.6,32,27.7
192,32.9,5.2,34.2,Transformer,4,-,72,2,-,0.125,5.0e-06,5.5e-03,0.6,36,27.6
142,52.5,25.0,66.7,Transformer,3,-,48,4,-,0.175,1.0e-06,4.5e-03,0.5,28,27.5
57,32.9,5.5,35.8,Transformer,4,-,72,4,-,0.125,2.5e-06,5.0e-03,0.4,28,27.4
177,32.5,5.2,33.3,Transformer,4,-,72,2,-,0.15,7.5e-07,4.0e-03,0.4,28,27.3
76,43.9,16.8,36.7,Transformer,4,-,36,2,-,0.05,1.0e-06,5.0e-03,0.6,36,27.2
290,32.5,5.4,35.8,Transformer,4,-,48,2,-,0.175,1.0e-06,5.0e-03,0.4,32,27.1
257,44.6,17.7,35.8,Transformer,3,-,72,4,-,0.125,7.5e-07,5.0e-03,0.4,36,26.9
63,32.1,5.3,20.8,Transformer,4,-,60,3,-,0.15,7.5e-07,5.5e-03,0.4,36,26.8
19,52.1,25.6,20.8,Transformer,3,-,48,12,-,0.075,2.5e-06,5.0e-03,0.5,32,26.6
241,46.8,20.4,59.2,Transformer,3,-,72,4,-,0.175,7.5e-07,4.5e-03,0.4,32,26.4
277,41.1,14.8,41.7,Transformer,3,-,72,2,-,0.1,1.0e-06,5.0e-03,0.5,32,26.2
157,32.1,6.0,36.7,Transformer,4,-,48,12,-,0.05,1.0e-06,4.5e-03,0.5,28,26.2
166,41.1,15.0,34.2,Transformer,3,-,72,3,-,0.05,7.5e-07,4.5e-03,0.5,32,26.1
264,33.2,7.2,34.2,Transformer,4,-,48,3,-,0.125,7.5e-07,5.5e-03,0.5,36,26.1
91,34.3,8.3,35.8,Transformer,3,-,48,3,-,0.175,5.0e-06,5.5e-03,0.6,28,26.0
293,45.4,19.4,47.5,Transformer,4,-,48,2,-,0.15,1.0e-06,3.5e-03,0.4,36,25.9
249,33.2,7.3,44.2,Transformer,4,-,48,2,-,0.0,5.0e-07,3.5e-03,0.6,28,25.9
120,38.2,12.4,40.8,Transformer,4,-,48,2,-,0.05,1.0e-06,3.5e-03,0.4,28,25.8
261,32.9,7.1,36.7,Transformer,3,-,72,4,-,0.0,7.5e-07,5.5e-03,0.4,28,25.8
190,32.9,7.3,35.8,Transformer,4,-,60,3,-,0.175,5.0e-06,4.0e-03,0.4,28,25.6
139,32.9,7.3,34.2,Transformer,4,-,48,2,-,0.025,2.5e-06,4.5e-03,0.5,32,25.6
206,31.4,6.3,35.8,Transformer,4,-,48,4,-,0.1,5.0e-06,4.0e-03,0.6,28,25.1
101,31.4,6.3,34.2,Transformer,4,-,48,2,-,0.1,5.0e-07,5.0e-03,0.5,32,25.1
104,31.4,6.3,34.2,Transformer,4,-,60,3,-,0.025,7.5e-07,5.5e-03,0.4,36,25.1
80,31.4,6.3,20.8,Transformer,4,-,72,4,-,0.125,7.5e-07,5.5e-03,0.6,28,25.1
178,36.8,11.9,35.8,Transformer,4,-,36,12,-,0.125,2.5e-06,5.5e-03,0.6,28,24.9
250,31.8,6.9,35.8,Transformer,4,-,60,4,-,0.125,5.0e-06,4.5e-03,0.6,36,24.9
205,32.1,7.3,35.8,Transformer,4,-,60,3,-,0.175,5.0e-06,5.0e-03,0.4,36,24.8
42,32.1,7.5,34.2,Transformer,4,-,60,2,-,0.175,7.5e-07,4.0e-03,0.4,28,24.7
194,40.0,15.5,35.8,Transformer,3,-,72,12,-,0.075,1.0e-06,5.0e-03,0.5,32,24.5
35,30.7,6.2,35.8,Transformer,4,-,48,3,-,0.1,5.0e-06,5.5e-03,0.5,36,24.5
99,31.4,7.3,35.8,Transformer,4,-,60,3,-,0.075,7.5e-07,3.5e-03,0.6,36,24.1
155,35.7,12.0,35.8,Transformer,4,-,48,2,-,0.15,1.0e-06,3.5e-03,0.6,28,23.8
296,47.1,23.4,35.8,Transformer,3,-,72,12,-,0.05,2.5e-06,5.0e-03,0.6,36,23.7
201,30.0,6.6,35.8,Transformer,4,-,60,2,-,0.025,5.0e-07,5.5e-03,0.4,32,23.4
44,30.4,7.0,34.2,Transformer,4,-,48,4,-,0.05,1.0e-06,4.5e-03,0.5,28,23.3
25,30.4,7.4,35.8,Transformer,4,-,72,2,-,0.175,5.0e-06,5.0e-03,0.5,36,23.0
130,31.1,8.2,35.8,Transformer,4,-,36,2,-,0.05,1.0e-06,5.5e-03,0.6,32,22.9
152,30.0,7.4,35.8,Transformer,4,-,48,12,-,0.025,5.0e-07,5.0e-03,0.5,28,22.6
204,30.0,8.2,20.8,Transformer,4,-,60,3,-,0.025,5.0e-07,5.5e-03,0.4,28,21.8
122,31.1,9.3,34.2,Transformer,3,-,48,2,-,0.1,7.5e-07,5.5e-03,0.5,28,21.8
133,34.6,13.1,35.8,Transformer,4,-,60,4,-,0.025,5.0e-07,3.5e-03,0.6,32,21.6
66,33.6,12.2,34.2,Transformer,4,-,48,4,-,0.075,1.0e-06,4.5e-03,0.5,28,21.4
108,37.5,16.2,35.8,Transformer,4,-,60,2,-,0.05,2.5e-06,4.0e-03,0.4,28,21.3
259,28.6,7.5,35.8,Transformer,4,-,72,2,-,0.1,5.0e-07,4.5e-03,0.6,32,21.1
72,28.6,7.5,35.8,Transformer,4,-,72,2,-,0.1,1.0e-06,5.5e-03,0.4,32,21.1
189,28.2,7.2,45.8,Transformer,4,-,48,2,-,0.05,1.0e-06,4.5e-03,0.4,36,21.0
135,27.9,6.9,35.8,Transformer,4,-,48,4,-,0.075,2.5e-06,5.5e-03,0.4,36,20.9
65,28.6,7.7,35.8,Transformer,4,-,60,2,-,0.05,5.0e-07,5.5e-03,0.6,36,20.9
40,31.4,10.7,34.2,Transformer,4,-,60,3,-,0.025,5.0e-07,4.5e-03,0.6,32,20.7
168,39.6,19.0,34.2,Transformer,3,-,72,12,-,0.0,2.5e-06,5.5e-03,0.5,28,20.6
84,27.5,7.5,20.8,Transformer,4,-,72,4,-,0.1,7.5e-07,5.0e-03,0.6,36,20.0
14,33.9,14.5,65.8,Transformer,4,-,48,2,-,0.075,1.0e-06,3.5e-03,0.5,36,19.4
269,26.8,7.7,34.2,Transformer,4,-,72,4,-,0.175,2.5e-06,5.5e-03,0.6,36,19.1
246,36.4,17.6,35.8,Transformer,4,-,36,3,-,0.05,5.0e-06,5.5e-03,0.4,32,18.9
