index_set,mean_acc,std_acc,test_accuracy,estimator_name,num_layers,hidden_size,d_model,nhead,out_channels,dropout,weight_decay,lr,scheduler_factor,batch_size,score
267,94.3,3.3,84.2,Transformer,2,-,60,4,-,0.125,2.5e-06,5.0e-03,0.4,36,91.0
84,94.3,3.3,93.3,Transformer,2,-,36,12,-,0.1,5.0e-06,4.0e-03,0.4,32,91.0
290,94.3,3.3,88.3,Transformer,2,-,36,12,-,0.1,1.0e-06,5.0e-03,0.5,36,91.0
108,94.6,3.7,85.8,Transformer,2,-,60,4,-,0.125,5.0e-06,4.5e-03,0.5,28,91.0
43,94.6,3.7,86.7,Transformer,2,-,48,12,-,0.15,7.5e-07,5.0e-03,0.6,28,91.0
70,93.6,2.7,90.8,Transformer,2,-,60,2,-,0.05,5.0e-07,3.5e-03,0.6,36,90.9
79,95.0,4.3,88.3,Transformer,2,-,36,3,-,0.125,5.0e-06,5.5e-03,0.4,36,90.7
45,93.9,3.2,75.8,Transformer,2,-,72,2,-,0.05,7.5e-07,3.5e-03,0.4,28,90.7
127,93.2,2.5,85.8,Transformer,2,-,72,12,-,0.05,2.5e-06,4.5e-03,0.5,36,90.7
40,93.2,2.5,88.3,Transformer,2,-,36,3,-,0.025,5.0e-07,5.5e-03,0.6,28,90.7
167,93.6,3.1,87.5,Transformer,3,-,36,12,-,0.15,5.0e-06,4.5e-03,0.4,32,90.5
16,93.6,3.1,91.7,Transformer,2,-,48,4,-,0.1,2.5e-06,3.5e-03,0.5,36,90.5
194,93.6,3.1,77.5,Transformer,2,-,60,4,-,0.1,5.0e-06,5.5e-03,0.6,36,90.5
130,93.9,3.6,85.0,Transformer,3,-,36,12,-,0.025,5.0e-07,4.0e-03,0.6,28,90.3
119,93.9,3.6,89.2,Transformer,3,-,36,4,-,0.125,7.5e-07,3.5e-03,0.4,32,90.3
187,93.2,3.0,90.0,Transformer,3,-,36,2,-,0.025,5.0e-06,3.5e-03,0.5,32,90.2
140,93.6,3.5,87.5,Transformer,2,-,48,2,-,0.0,2.5e-06,4.0e-03,0.4,36,90.1
57,93.6,3.5,83.3,Transformer,2,-,72,12,-,0.15,1.0e-06,4.5e-03,0.5,32,90.1
62,93.6,3.5,90.0,Transformer,2,-,60,2,-,0.1,5.0e-07,4.0e-03,0.5,36,90.1
114,93.6,3.5,89.2,Transformer,2,-,48,4,-,0.025,5.0e-06,4.0e-03,0.4,36,90.1
87,92.5,2.5,92.5,Transformer,2,-,48,4,-,0.05,7.5e-07,3.5e-03,0.4,32,90.0
99,93.9,3.9,90.8,Transformer,2,-,48,4,-,0.075,2.5e-06,4.5e-03,0.5,32,90.0
102,93.2,3.4,92.5,Transformer,2,-,36,4,-,0.175,5.0e-06,4.0e-03,0.6,32,89.8
248,93.6,3.8,83.3,Transformer,2,-,48,3,-,0.175,5.0e-07,5.0e-03,0.4,32,89.7
139,94.3,4.6,89.2,Transformer,2,-,72,12,-,0.15,1.0e-06,4.5e-03,0.5,36,89.7
201,94.3,4.6,91.7,Transformer,2,-,48,2,-,0.125,5.0e-07,3.5e-03,0.5,36,89.7
230,94.3,4.6,89.2,Transformer,2,-,60,2,-,0.075,2.5e-06,5.5e-03,0.6,32,89.7
103,92.9,3.2,87.5,Transformer,2,-,48,12,-,0.1,2.5e-06,5.5e-03,0.6,32,89.7
232,92.5,3.0,84.2,Transformer,3,-,36,3,-,0.05,1.0e-06,4.0e-03,0.4,36,89.5
158,92.5,3.0,85.0,Transformer,2,-,60,3,-,0.075,5.0e-07,3.5e-03,0.6,28,89.5
